2025-04-01 07:30:27 INFO: Inserting from xml\Depenses_20210101_20210131.xml
2025-04-01 07:30:27 INFO: Inserting from xml\AvisRevisions_20210101_20210131.xml
2025-04-01 07:37:01 INFO: Inserting from xml\ContratsRevisions_20210101_20210131.xml
2025-04-01 07:37:01 INFO: Inserting from xml\DepensesRevisions_20210101_20210131.xml
2025-04-01 07:37:01 INFO: Inserting from xml\Avis_20210201_20210228.xml
2025-04-01 08:09:55 INFO: Inserting from xml\Contrats_20210201_20210228.xml
2025-04-01 08:09:57 INFO: Inserting from xml\Depenses_20210201_20210228.xml
2025-04-01 08:09:57 INFO: Inserting from xml\AvisRevisions_20210201_20210228.xml
2025-04-01 08:14:09 INFO: Inserting from xml\ContratsRevisions_20210201_20210228.xml
2025-04-01 08:14:09 INFO: Inserting from xml\DepensesRevisions_20210201_20210228.xml
2025-04-01 08:14:09 INFO: Inserting from xml\Avis_20210301_20210331.xml
2025-04-01 08:59:48 INFO: Inserting from xml\Contrats_20210301_20210331.xml
2025-04-01 08:59:51 ERROR: Cannot process contrat record from xml\Contrats_20210301_20210331.xml because primary key field is missing: numeroseao='1397513', numero=''
2025-04-01 08:59:52 INFO: Inserting from xml\Depenses_20210301_20210331.xml
2025-04-01 08:59:52 INFO: Inserting from xml\AvisRevisions_20210301_20210331.xml
2025-04-01 09:11:40 INFO: Inserting from xml\ContratsRevisions_20210301_20210331.xml
2025-04-01 09:11:40 INFO: Inserting from xml\DepensesRevisions_20210301_20210331.xml
2025-04-01 09:11:40 INFO: Inserting from xml\Avis_20210401_20210430.xml
2025-04-01 09:56:25 INFO: Inserting from xml\Contrats_20210401_20210430.xml
2025-04-01 09:56:28 INFO: Inserting from xml\Depenses_20210401_20210430.xml
2025-04-01 09:56:28 INFO: Inserting from xml\AvisRevisions_20210401_20210430.xml
2025-04-01 10:04:35 INFO: Inserting from xml\ContratsRevisions_20210401_20210430.xml
2025-04-01 10:04:35 INFO: Inserting from xml\DepensesRevisions_20210401_20210430.xml
2025-04-01 10:04:35 INFO: Inserting from xml\Avis_20210501_20210531.xml
2025-04-01 10:51:17 INFO: Inserting from xml\Contrats_20210501_20210531.xml
2025-04-01 10:51:21 INFO: Inserting from xml\Depenses_20210501_20210531.xml
2025-04-01 10:51:21 INFO: Inserting from xml\AvisRevisions_20210501_20210531.xml
2025-04-01 10:58:16 INFO: Inserting from xml\ContratsRevisions_20210501_20210531.xml
2025-04-01 10:58:16 INFO: Inserting from xml\DepensesRevisions_20210501_20210531.xml
2025-04-01 10:58:16 INFO: Inserting from xml\Avis_20210601_20210630.xml
2025-04-01 11:45:50 INFO: Inserting from xml\Contrats_20210601_20210630.xml
2025-04-01 11:45:53 INFO: Inserting from xml\Depenses_20210601_20210630.xml
2025-04-01 11:45:53 INFO: Inserting from xml\AvisRevisions_20210601_20210630.xml
2025-04-01 11:53:17 INFO: Inserting from xml\ContratsRevisions_20210601_20210630.xml
2025-04-01 11:53:18 INFO: Inserting from xml\DepensesRevisions_20210601_20210630.xml
2025-04-01 11:53:18 INFO: Inserting from xml\Avis_20210701_20210731.xml
2025-04-01 12:30:27 INFO: Inserting from xml\Contrats_20210701_20210731.xml
2025-04-01 12:30:29 INFO: Inserting from xml\Depenses_20210701_20210731.xml
2025-04-01 12:30:30 INFO: Inserting from xml\AvisRevisions_20210701_20210731.xml
2025-04-01 12:33:33 INFO: Inserting from xml\ContratsRevisions_20210701_20210731.xml
2025-04-01 12:33:33 INFO: Inserting from xml\DepensesRevisions_20210701_20210731.xml
2025-04-01 12:33:33 INFO: Inserting from xml\Avis_20210801_20210831.xml
2025-04-01 13:03:53 INFO: Inserting from xml\Contrats_20210801_20210831.xml
2025-04-01 13:03:55 INFO: Inserting from xml\Depenses_20210801_20210831.xml
2025-04-01 13:03:56 INFO: Inserting from xml\AvisRevisions_20210801_20210831.xml
2025-04-01 13:09:25 INFO: Inserting from xml\ContratsRevisions_20210801_20210831.xml
2025-04-01 13:09:25 INFO: Inserting from xml\DepensesRevisions_20210801_20210831.xml
2025-04-01 13:09:25 INFO: Inserting from xml\Avis_20210901_20210930.xml
2025-04-01 13:42:23 INFO: Inserting from xml\Contrats_20210901_20210930.xml
2025-04-01 13:42:27 INFO: Inserting from xml\Depenses_20210901_20210930.xml
2025-04-01 13:42:28 INFO: Inserting from xml\AvisRevisions_20210901_20210930.xml
2025-04-01 13:51:00 INFO: Inserting from xml\ContratsRevisions_20210901_20210930.xml
2025-04-01 13:51:00 INFO: Inserting from xml\DepensesRevisions_20210901_20210930.xml
2025-04-01 13:51:00 INFO: Inserting from xml\Avis_20211001_20211031.xml
2025-04-01 14:25:40 INFO: Inserting from xml\Contrats_20211001_20211031.xml
2025-04-01 14:25:44 INFO: Inserting from xml\Depenses_20211001_20211031.xml
2025-04-01 14:25:44 INFO: Inserting from xml\AvisRevisions_20211001_20211031.xml
2025-04-01 14:33:55 INFO: Inserting from xml\ContratsRevisions_20211001_20211031.xml
2025-04-01 14:33:55 INFO: Inserting from xml\DepensesRevisions_20211001_20211031.xml
2025-04-01 14:33:55 INFO: Inserting from xml\Avis_20211101_20211130.xml
2025-04-01 15:09:22 INFO: Inserting from xml\Contrats_20211101_20211130.xml
2025-04-01 15:09:24 INFO: Inserting from xml\Depenses_20211101_20211130.xml
2025-04-01 15:09:25 INFO: Inserting from xml\AvisRevisions_20211101_20211130.xml
2025-04-01 15:20:31 INFO: Inserting from xml\ContratsRevisions_20211101_20211130.xml
2025-04-01 15:20:32 INFO: Inserting from xml\DepensesRevisions_20211101_20211130.xml
2025-04-01 15:20:32 INFO: Inserting from xml\Avis_20211201_20211231.xml
2025-04-01 15:55:47 INFO: Inserting from xml\Contrats_20211201_20211231.xml
2025-04-01 15:55:49 INFO: Inserting from xml\Depenses_20211201_20211231.xml
2025-04-01 15:55:50 INFO: Inserting from xml\AvisRevisions_20211201_20211231.xml
2025-04-01 16:03:22 INFO: Inserting from xml\ContratsRevisions_20211201_20211231.xml
2025-04-01 16:03:22 INFO: Inserting from xml\DepensesRevisions_20211201_20211231.xml
2025-04-01 16:03:24 INFO: Inserting from xml\Avis_20220101_20220131.xml
2025-04-01 16:33:45 INFO: Inserting from xml\Contrats_20220101_20220131.xml
2025-04-01 16:33:48 INFO: Inserting from xml\Depenses_20220101_20220131.xml
2025-04-01 16:33:48 INFO: Inserting from xml\AvisRevisions_20220101_20220131.xml
2025-04-01 16:41:41 INFO: Inserting from xml\ContratsRevisions_20220101_20220131.xml
2025-04-01 16:41:41 INFO: Inserting from xml\DepensesRevisions_20220101_20220131.xml
